Z_real,Z_imag,Spectrum_Number,Frequency_Hz
3.798460e+01,-6.353044e-02,1.000000e+00,1.930698e+00
3.798838e+01,-4.804738e-02,1.000000e+00,1.389495e+00
3.799123e+01,-3.633532e-02,1.000000e+00,1.000000e+00
3.799337e+01,-2.747684e-02,1.000000e+00,7.196857e-01
3.799500e+01,-2.077726e-02,1.000000e+00,5.179475e-01
3.799622e+01,-1.571077e-02,1.000000e+00,3.727594e-01
3.799714e+01,-1.187949e-02,1.000000e+00,2.682696e-01
3.799784e+01,-8.982364e-03,1.000000e+00,1.930698e-01
3.799837e+01,-6.791699e-03,1.000000e+00,1.389495e-01
3.799877e+01,-5.135257e-03,1.000000e+00,1.000000e-01
3.799907e+01,-3.882782e-03,1.000000e+00,7.196857e-02
3.799929e+01,-2.935766e-03,1.000000e+00,5.179475e-02
3.799947e+01,-2.219720e-03,1.000000e+00,3.727594e-02
3.799960e+01,-1.678316e-03,1.000000e+00,2.682696e-02
3.799970e+01,-1.268961e-03,1.000000e+00,1.930698e-02
3.799977e+01,-9.594490e-04,1.000000e+00,1.389495e-02
3.799983e+01,-7.254293e-04,1.000000e+00,1.000000e-02
1.030882e+01,-1.128052e+00,2.000000e+00,1.000000e+05
1.042227e+01,-1.483588e+00,2.000000e+00,7.196857e+04
1.058218e+01,-1.947086e+00,2.000000e+00,5.179475e+04
1.081022e+01,-2.547787e+00,2.000000e+00,3.727594e+04
1.113911e+01,-3.319595e+00,2.000000e+00,2.682696e+04
1.161794e+01,-4.298490e+00,2.000000e+00,1.930698e+04
1.231874e+01,-5.515895e+00,2.000000e+00,1.389495e+04
1.334257e+01,-6.984968e+00,2.000000e+00,1.000000e+04
1.481962e+01,-8.676748e+00,2.000000e+00,7.196857e+03
1.689217e+01,-1.048705e+01,2.000000e+00,5.179475e+03
1.966585e+01,-1.220785e+01,2.000000e+00,3.727594e+03
2.312789e+01,-1.353740e+01,2.000000e+00,2.682696e+03
2.707305e+01,-1.416683e+01,2.000000e+00,1.930698e+03
3.111780e+01,-1.392561e+01,2.000000e+00,1.389495e+03
3.483757e+01,-1.288097e+01,2.000000e+00,1.000000e+03
3.793634e+01,-1.129728e+01,2.000000e+00,7.196857e+02
4.031963e+01,-9.495286e+00,2.000000e+00,5.179475e+02
4.205051e+01,-7.730879e+00,2.000000e+00,3.727594e+02
4.326290e+01,-6.153237e+00,2.000000e+00,2.682696e+02
4.409621e+01,-4.821156e+00,2.000000e+00,1.930698e+02
4.466543e+01,-3.737008e+00,2.000000e+00,1.389495e+02
4.505521e+01,-2.875423e+00,2.000000e+00,1.000000e+02
4.532422e+01,-2.201325e+00,2.000000e+00,7.196857e+01
4.551186e+01,-1.679362e+00,2.000000e+00,5.179475e+01
4.564429e+01,-1.278017e+00,2.000000e+00,3.727594e+01
4.573883e+01,-9.708926e-01,2.000000e+00,2.682696e+01
4.580704e+01,-7.366515e-01,2.000000e+00,1.930698e+01
4.585670e+01,-5.584175e-01,2.000000e+00,1.389495e+01
4.589315e+01,-4.230268e-01,2.000000e+00,1.000000e+01
4.592007e+01,-3.203058e-01,2.000000e+00,7.196857e+00
4.594006e+01,-2.424402e-01,2.000000e+00,5.179475e+00
4.595497e+01,-1.834542e-01,2.000000e+00,3.727594e+00
4.596611e+01,-1.387917e-01,2.000000e+00,2.682696e+00
4.597447e+01,-1.049866e-01,2.000000e+00,1.930698e+00
4.598075e+01,-7.940640e-02,2.000000e+00,1.389495e+00
4.598548e+01,-6.005375e-02,2.000000e+00,1.000000e+00
4.598904e+01,-4.541475e-02,2.000000e+00,7.196857e-01
4.599172e+01,-3.434258e-02,2.000000e+00,5.179475e-01
4.599375e+01,-2.596887e-02,2.000000e+00,3.727594e-01
4.599527e+01,-1.963637e-02,2.000000e+00,2.682696e-01
4.599643e+01,-1.484774e-02,2.000000e+00,1.930698e-01
4.599730e+01,-1.122672e-02,2.000000e+00,1.389495e-01
4.599796e+01,-8.488681e-03,2.000000e+00,1.000000e-01
4.599846e+01,-6.418354e-03,2.000000e+00,7.196857e-02
4.599883e+01,-4.852931e-03,2.000000e+00,5.179475e-02
4.599912e+01,-3.669293e-03,2.000000e+00,3.727594e-02
4.599933e+01,-2.774336e-03,2.000000e+00,2.682696e-02
4.599950e+01,-2.097657e-03,2.000000e+00,1.930698e-02
